course_id,course_name,department,credits,time_slot,classroom,instructor,description,prerequisites,max_students,current_enrollment
"000 10002_01","國文領域下","Common","3","Mon 08:00-09:00, Wed 10:20-11:10","博雅101","TBA","英文名稱: Chinese (2) | 備註: 0","無","",""
"000 20002_01","外文領域下","Common","3","Tue 09:10-10:00, Thu 11:20-12:10","TBA","TBA","英文名稱: Freshman English / Second Foreign Language (2) | 備註: 0","無","",""
"000 30002_01","英文領域下","Common","3","TBA","TBA","TBA","英文名稱: Freshman English (2) | 備註: 0","無","",""
"002 10040_01","專項運動學群","PE","1","TBA","TBA","TBA","英文名稱: Various Sport Courses | 備註: 0","無","",""
"003 10120_01","軍訓二","MilTr","","TBA","TBA","TBA","英文名稱: Military Training (Ⅱ) | 備註: 0","無","",""
"003 20140_01","軍訓四","MilTr","","TBA","TBA","TBA","英文名稱: Military Training (Ⅳ) | 備註: 0","無","",""
"004 20120_1","進階英語二(綜合)","AdvEng","","Mon 08:00-09:00","TBA","高照明","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_2","進階英語二(綜合)","AdvEng","","Wed 10:20-11:10","外教202","王珊珊","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_3","進階英語二(綜合)","AdvEng","","Fri 13:20-14:10","TBA","邱福棟","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_4","進階英語二(綜合)","AdvEng","","Tue 14:20-15:10","TBA","邱福棟","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_5","進階英語二(綜合)","AdvEng","","TBA","TBA","邱福棟","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_6","進階英語二(綜合)","AdvEng","","TBA","外教202","黃惠如","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_7","進階英語二(綜合)","AdvEng","","TBA","外教102","黃惠如","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_8","進階英語二(綜合)","AdvEng","","TBA","外教201","楊乃冬","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_9","進階英語二(綜合)","AdvEng","","TBA","外教101","廖彥棻","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20120_10","進階英語二(綜合)","AdvEng","","TBA","外教101","邱福棟","英文名稱: Online English Program Ⅱ (general) | 選課說明: 2 | 備註: 1","無","",""
"004 20320_1","進階英語二(聽力)","AdvEng","","TBA","外教201","馬耀民","英文名稱: Online English Program Ii (listening) | 選課說明: 2 | 備註: 1","無","",""
"004 20320_2","進階英語二(聽力)","AdvEng","","TBA","外教202","徐維娟","英文名稱: Online English Program Ii (listening) | 選課說明: 2 | 備註: 1","無","",""
"004 20320_3","進階英語二(聽力)","AdvEng","","TBA","外教104","古佳艷","英文名稱: Online English Program Ii (listening) | 選課說明: 2 | 備註: 1","無","",""
"004 20320_4","進階英語二(聽力)","AdvEng","","TBA","外教202","邱福棟","英文名稱: Online English Program Ii (listening) | 選課說明: 2 | 備註: 1","無","",""
"004 20320_5","進階英語二(聽力)","AdvEng","","TBA","TBA","許文僊","英文名稱: Online English Program Ii (listening) | 選課說明: 2 | 備註: 1","無","",""
"004 M0110_01","研究生線上英文一","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates I (Ⅰ) | 選課說明: 3 | 備註: 0","無","",""
"004 M0120_01","研究生線上英文二","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates (Ⅱ) | 選課說明: 3 | 備註: 0","無","",""
